Date,High,Low,Open,Close,Volume,Adj Close,Panic,Event No,ROE,ETF,Risk
1483354800.0,89.0,88.08000183105469,89.0,88.5999984741211,8789400,88.5999984741211,NaN,-1.0,62.8,NO,3
1483441200.0,90.88999938964844,88.58000183105469,88.98500061035156,90.51000213623047,11490200,90.51000213623047,0.0,7.0,46.3,NO,5
1483527600.0,94.80999755859375,91.63999938964844,91.91000366210938,94.37000274658203,16821500,94.37000274658203,8.0,0.0,40.2,NO,3
1483614000.0,94.5,93.0,94.4000015258789,93.88999938964844,7639800,93.88999938964844,NaN,9.0,31.2,NO,5
1483873200.0,95.6500015258789,93.30999755859375,94.16000366210938,94.72000122070312,10829500,94.72000122070312,10.0,9.0,27.7,NO,3
1483959600.0,97.90399932861328,95.55000305175781,96.4000015258789,96.75,14780600,96.75,2.0,6.0,49.9,NO,5
1484046000.0,97.44999694824219,95.5999984741211,96.91999816894531,96.94000244140625,8735900,96.94000244140625,8.0,1.0,35.5,NO,4
1484132400.0,96.8499984741211,94.80000305175781,96.8499984741211,95.9000015258789,8424700,95.9000015258789,7.0,10.0,30.2,NO,3
1484218800.0,97.37999725341797,95.76000213623047,95.94999694824219,96.2699966430664,10701100,96.2699966430664,15.0,1.0,6.5,NO,4
1484564400.0,96.58999633789062,95.0,96.31999969482422,96.12000274658203,6342400,96.12000274658203,NaN,8.0,67.4,NO,2
1484650800.0,96.2699966430664,95.26000213623047,96.2699966430664,96.0,6610700,96.0,6.0,8.0,13.4,NO,2
1484737200.0,96.69999694824219,95.58000183105469,96.41999816894531,96.16999816894531,7090000,96.16999816894531,14.0,-2.0,27.1,NO,3
1484823600.0,97.1500015258789,95.6709976196289,96.44999694824219,96.05999755859375,9685800,96.05999755859375,8.0,-5.0,8.1,NO,5
1485082800.0,98.66999816894531,96.26000213623047,96.4800033569336,98.41000366210938,14090300,98.41000366210938,NaN,-11.0,37.4,NO,5
1485169200.0,103.19000244140625,99.94000244140625,103.1500015258789,101.43000030517578,37181500,101.43000030517578,5.0,3.0,4.6,NO,4
1485255600.0,104.2699966430664,101.9000015258789,102.45999908447266,104.05999755859375,23322800,104.05999755859375,11.0,9.0,8.2,NO,2
1485342000.0,104.56999969482422,102.16999816894531,103.91999816894531,102.75,12504800,102.75,0.0,-9.0,43.0,NO,5
1485428400.0,102.69999694824219,101.29000091552734,102.25,102.06999969482422,8031000,102.06999969482422,13.0,-0.0,44.8,YES,5
1485687600.0,101.45999908447266,100.08999633789062,101.19999694824219,101.0199966430664,8619800,101.0199966430664,NaN,-6.0,67.7,YES,4
1485774000.0,102.08999633789062,100.05999755859375,100.23999786376953,101.30999755859375,7530000,101.30999755859375,NaN,-11.0,8.9,NO,1
1485860400.0,102.37999725341797,100.87000274658203,102.06999969482422,101.56999969482422,5736400,101.56999969482422,NaN,-0.0,31.2,YES,4
1485946800.0,101.47000122070312,100.55999755859375,101.27999877929688,100.83999633789062,5371600,100.83999633789062,NaN,11.0,8.6,NO,3
1486033200.0,101.55999755859375,100.30000305175781,101.5,100.38999938964844,6197600,100.38999938964844,2.0,-6.0,46.9,NO,2
1486292400.0,101.70600128173828,100.0199966430664,100.16999816894531,100.9000015258789,6866700,100.9000015258789,NaN,10.0,6.8,NO,4
1486378800.0,101.5999984741211,100.5,101.04000091552734,100.83000183105469,5655600,100.83000183105469,NaN,-4.0,63.8,NO,3
1486465200.0,103.98999786376953,101.16000366210938,101.55000305175781,103.56999969482422,10178500,103.56999969482422,2.0,-2.0,4.8,NO,2
1486551600.0,104.18000030517578,102.55999755859375,103.56999969482422,103.33999633789062,8435800,103.33999633789062,10.0,-10.0,31.1,NO,4
1486638000.0,103.94000244140625,102.30999755859375,103.87999725341797,102.36000061035156,7680300,102.36000061035156,4.0,9.0,41.0,YES,2
1486897200.0,104.44000244140625,102.62000274658203,102.81999969482422,103.0999984741211,9729000,103.0999984741211,NaN,-9.0,16.2,NO,3
1486983600.0,103.5999984741211,100.89600372314453,103.13999938964844,101.58999633789062,10240700,101.58999633789062,10.0,-9.0,49.7,NO,1
1487070000.0,102.12999725341797,100.11000061035156,102.05999755859375,101.55000305175781,12384400,101.55000305175781,4.0,9.0,69.9,NO,5
1487156400.0,102.0999984741211,100.5,101.86000061035156,100.81999969482422,7464000,100.81999969482422,11.0,4.0,22.3,NO,3
1487242800.0,101.7300033569336,100.30000305175781,100.69000244140625,100.5199966430664,8258200,100.5199966430664,0.0,1.0,42.2,NO,2
1487588400.0,102.54000091552734,100.91000366210938,101.02999877929688,102.12000274658203,8189600,102.12000274658203,9.0,6.0,64.9,NO,3
1487674800.0,105.19999694824219,102.41999816894531,102.4800033569336,104.19999694824219,15779400,104.19999694824219,4.0,10.0,34.4,NO,4
1487761200.0,104.86000061035156,101.81999969482422,104.72000122070312,102.45999908447266,10095600,102.45999908447266,12.0,-10.0,36.7,YES,2
1487847600.0,103.0,101.30000305175781,101.38999938964844,102.94999694824219,7356600,102.94999694824219,11.0,-11.0,29.3,NO,3
1488106800.0,103.82499694824219,102.22000122070312,102.5,103.5999984741211,6865900,103.5999984741211,11.0,-11.0,65.0,NO,2
1488193200.0,103.98999786376953,102.02999877929688,103.88999938964844,102.9000015258789,8017500,102.9000015258789,NaN,-4.0,25.5,NO,4
1488279600.0,104.98999786376953,103.20999908447266,103.68000030517578,104.04000091552734,10331800,104.04000091552734,0.0,-9.0,10.3,NO,4
1488366000.0,104.58000183105469,102.7699966430664,103.80000305175781,103.19000244140625,7983000,103.19000244140625,9.0,10.0,45.2,NO,1
1488452400.0,103.41999816894531,102.44000244140625,102.98999786376953,103.30999755859375,6320900,103.30999755859375,10.0,-12.0,22.9,NO,5
1488711600.0,103.25,102.0999984741211,102.76000213623047,102.30999755859375,6290700,102.30999755859375,4.0,-2.0,22.7,YES,1
1488798000.0,103.30799865722656,102.11000061035156,102.30000305175781,102.62999725341797,4985200,102.62999725341797,6.0,-5.0,63.9,NO,2
1488884400.0,104.29000091552734,102.54000091552734,102.62999725341797,103.22000122070312,7066700,103.22000122070312,14.0,-12.0,27.4,NO,4
1488970800.0,103.75,102.76000213623047,102.97000122070312,103.23999786376953,4523600,103.23999786376953,5.0,4.0,9.9,NO,1
1489057200.0,103.69999694824219,102.62999725341797,103.43000030517578,103.38999938964844,4120700,103.38999938964844,11.0,-11.0,28.6,NO,4
1489316400.0,106.25,103.47000122070312,103.5199966430664,105.18000030517578,16118900,105.18000030517578,5.0,11.0,42.4,NO,2
1489402800.0,106.0,103.8219985961914,104.61000061035156,104.25,7748400,104.25,2.0,-4.0,53.5,NO,2
1489489200.0,104.48999786376953,102.5999984741211,104.37000274658203,103.69000244140625,11695200,103.69000244140625,7.0,-1.0,52.2,NO,1
1489575600.0,105.6500015258789,104.3010025024414,105.25,105.62999725341797,12445200,105.62999725341797,7.0,-3.0,16.2,NO,2
1489662000.0,106.5,104.86000061035156,105.16999816894531,105.61000061035156,8778900,105.61000061035156,9.0,-8.0,35.2,NO,5
1489921200.0,108.19999694824219,105.94000244140625,106.2300033569336,107.25,12447900,107.25,12.0,-9.0,64.6,NO,3
1490007600.0,108.69999694824219,104.69999694824219,108.45999908447266,105.08999633789062,13877700,105.08999633789062,NaN,-1.0,44.0,NO,5
1490094000.0,106.12000274658203,103.9800033569336,104.63999938964844,106.08999633789062,7153000,106.08999633789062,10.0,-4.0,57.7,NO,4
1490180400.0,108.83000183105469,106.44000244140625,106.94999694824219,108.25,13410800,108.25,14.0,-6.0,22.2,NO,1
1490266800.0,109.12999725341797,107.2300033569336,108.4000015258789,108.04000091552734,7578400,108.04000091552734,3.0,0.0,72.3,NO,1
1490526000.0,108.19000244140625,106.51000213623047,106.6500015258789,108.08000183105469,7709400,108.08000183105469,NaN,-6.0,27.0,NO,4
1490612400.0,108.94999694824219,107.45999908447266,108.2300033569336,107.80000305175781,6472000,107.80000305175781,14.0,-2.0,68.2,YES,3
1490698800.0,109.73999786376953,107.69000244140625,107.97000122070312,109.51000213623047,8788700,109.51000213623047,9.0,-6.0,25.8,NO,3
1490785200.0,110.44999694824219,108.66000366210938,109.72899627685547,108.8499984741211,10592500,108.8499984741211,1.0,7.0,69.1,NO,4
1490871600.0,109.11900329589844,107.77999877929688,108.5,107.83000183105469,9002800,107.83000183105469,8.0,-4.0,54.7,NO,2
1491134400.0,109.47000122070312,107.5199966430664,108.8499984741211,108.08999633789062,8391400,108.08999633789062,15.0,3.0,70.0,NO,4
1491220800.0,108.26000213623047,106.87999725341797,107.87000274658203,107.5199966430664,6480100,107.5199966430664,11.0,5.0,43.3,NO,4
1491307200.0,108.81999969482422,107.31999969482422,108.36000061035156,107.44000244140625,8205400,107.44000244140625,4.0,1.0,26.6,NO,1
1491393600.0,108.41999816894531,107.1500015258789,107.58999633789062,108.04000091552734,5211100,108.04000091552734,4.0,11.0,28.2,NO,4
1491480000.0,109.06999969482422,106.76000213623047,107.87999725341797,108.98999786376953,8354900,108.98999786376953,11.0,-10.0,56.3,NO,4
1491739200.0,111.87999725341797,108.83999633789062,109.0,111.69999694824219,14798600,111.69999694824219,15.0,5.0,58.6,NO,5
1491825600.0,111.79000091552734,109.45999908447266,111.4000015258789,110.44000244140625,10012100,110.44000244140625,5.0,-4.0,7.5,NO,3
1491912000.0,111.69999694824219,110.30999755859375,110.5,110.62999725341797,8099800,110.62999725341797,7.0,-4.0,34.5,NO,3
1491998400.0,111.44999694824219,109.81999969482422,110.72000122070312,110.20999908447266,6857000,110.20999908447266,2.0,-7.0,13.3,NO,3
1492344000.0,111.87000274658203,110.30000305175781,110.91000366210938,111.76000213623047,7128100,111.76000213623047,5.0,-0.0,10.3,NO,2
1492430400.0,112.19999694824219,110.86699676513672,111.19999694824219,111.2300033569336,8305100,111.2300033569336,NaN,2.0,46.0,NO,2
1492516800.0,112.19999694824219,110.56999969482422,111.98999786376953,110.76000213623047,9603800,110.76000213623047,6.0,-4.0,64.9,NO,5
1492603200.0,113.5999984741211,111.4800033569336,111.52999877929688,112.95999908447266,13773500,112.95999908447266,11.0,10.0,3.5,NO,2
1492689600.0,113.16999816894531,112.30000305175781,112.80000305175781,113.11000061035156,8968300,113.11000061035156,9.0,11.0,71.3,NO,3
1492948800.0,115.16000366210938,114.0199966430664,114.04000091552734,114.86000061035156,13386600,114.86000061035156,12.0,-10.0,31.8,YES,1
1493035200.0,115.81999969482422,114.80000305175781,115.54000091552734,115.4800033569336,11434600,115.4800033569336,3.0,-4.0,59.9,NO,5
1493121600.0,115.75,114.62200164794922,115.37000274658203,114.97000122070312,6678800,114.97000122070312,1.0,8.0,35.1,YES,2
1493208000.0,115.95999908447266,114.83000183105469,115.0,115.43000030517578,9441500,115.43000030517578,5.0,-1.0,37.1,NO,3
1493294400.0,115.98999786376953,115.0,115.9000015258789,115.5,6984900,115.5,13.0,3.0,30.4,NO,5
1493553600.0,117.23999786376953,115.5,115.62999725341797,116.68000030517578,7332100,116.68000030517578,NaN,0.0,64.2,NO,3
1493640000.0,118.69000244140625,117.0,117.06999969482422,118.08999633789062,10048200,118.08999633789062,4.0,8.0,38.4,NO,2
1493726400.0,118.0,115.12000274658203,117.94999694824219,116.56999969482422,10591100,116.56999969482422,6.0,-7.0,73.7,NO,2
1493812800.0,116.41000366210938,115.1500015258789,115.94000244140625,115.86000061035156,6977800,115.86000061035156,9.0,-5.0,40.2,NO,4
1493899200.0,116.1500015258789,114.80000305175781,116.05000305175781,116.04000091552734,7099400,116.04000091552734,10.0,-3.0,51.0,NO,2
1494158400.0,117.51000213623047,116.19999694824219,116.9000015258789,116.86000061035156,6461900,116.86000061035156,8.0,9.0,16.9,NO,1
1494244800.0,120.0,118.06999969482422,118.62000274658203,120.0,15219900,120.0,2.0,4.0,24.6,NO,3
1494331200.0,120.33000183105469,119.0999984741211,120.01000213623047,119.9800033569336,9347300,119.9800033569336,9.0,9.0,36.1,NO,5
1494417600.0,120.5,118.25,120.12999725341797,120.16000366210938,11375500,120.16000366210938,NaN,-11.0,29.4,NO,1
1494504000.0,120.46800231933594,119.51000213623047,120.16000366210938,120.33999633789062,9823900,120.33999633789062,1.0,-5.0,71.3,NO,5
1494763200.0,121.48999786376953,120.03099822998047,121.02999877929688,121.4000015258789,11125500,121.4000015258789,1.0,-1.0,21.0,NO,4
1494849600.0,124.33999633789062,121.73999786376953,121.9800033569336,124.0199966430664,18222100,124.0199966430664,10.0,-10.0,16.3,NO,3
1494936000.0,123.88999938964844,120.5,123.25,120.72000122070312,19834700,120.72000122070312,1.0,-10.0,41.2,NO,2
1495022400.0,122.62999725341797,114.0,116.30999755859375,121.2699966430664,37121900,121.2699966430664,11.0,-5.0,65.8,NO,3
1495108800.0,126.4000015258789,123.06999969482422,123.95999908447266,123.22000122070312,21101700,123.22000122070312,1.0,9.0,57.8,NO,1
1495368000.0,125.58999633789062,123.55500030517578,124.9800033569336,124.75,13493200,124.75,12.0,-1.0,57.0,NO,2
1495454400.0,125.67500305175781,122.8499984741211,124.66999816894531,122.93000030517578,14370100,122.93000030517578,14.0,-5.0,24.4,NO,4
